"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"epiDisplay","epiDisplay","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","3.5.0.2",NA,"R (>= 2.6.2), foreign, survival, MASS, nnet",NA,NA,"",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"epiR","epiR","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.0.63",NA,"R (>= 3.0.0), survival","BiasedUrn, pander, methods, sf, lubridate, zoo, flextable,
officer",NA,"MASS (>= 3.1-20), dplyr, foreign, ggplot2, knitr, mapproj,
rmarkdown, plyr, RColorBrewer, rgeos, scales, sp, spatstat,
spData, tidyr",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"estimability","estimability","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.1",NA,"stats",NA,NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"evaluate","evaluate","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.21",NA,"R (>= 3.0.2)","methods",NA,"covr, ggplot2, lattice, rlang, testthat (>= 3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"EWCE","EWCE","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.6.0",NA,"R (>= 4.2), RNOmni (>= 1.0)","stats, utils, methods, ewceData, dplyr, ggplot2, reshape2,
limma, stringr, HGNChelper, Matrix, parallel,
SingleCellExperiment, SummarizedExperiment, DelayedArray,
BiocParallel, orthogene (>= 0.99.8), data.table",NA,"remotes, knitr, BiocStyle, rmarkdown, testthat (>= 3.0.0),
readxl, memoise, markdown, sctransform, DESeq2, MAST,
DelayedMatrixStats, cowplot, ggdendro, grDevices, grid,
gridExtra, scales, magick, badger",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.1"
"ewceData","ewceData","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.6.0",NA,"R (>= 4.1), ExperimentHub",NA,NA,"knitr, BiocStyle, ggplot2, cowplot, rmarkdown, markdown,
testthat (>= 3.0.0)",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"exactRankTests","exactRankTests","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.8-35",NA,"R (>= 2.4.0), stats, utils",NA,NA,"survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"ExperimentHub","ExperimentHub","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.6.0",NA,"methods, BiocGenerics (>= 0.15.10), AnnotationHub (>= 3.3.6),
BiocFileCache (>= 1.5.1)","utils, S4Vectors, BiocManager, curl, rappdirs",NA,"knitr, BiocStyle, rmarkdown, HubPub","ExperimentHubData","Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"expm","expm","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.999-7",NA,"Matrix","methods",NA,"RColorBrewer, sfsmisc, Rmpfr",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"extrafont","extrafont","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.19",NA,"R (>= 2.15)","extrafontdb, grDevices, utils, Rttf2pt1",NA,"fontcm",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"extrafontdb","extrafontdb","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0",NA,"R (>= 2.14)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,NA,"4.2.0"
"factoextra","factoextra","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.7",NA,"R (>= 3.1.2), ggplot2 (>= 2.2.0)","abind, cluster, dendextend, FactoMineR, ggpubr(>= 0.1.5),
grid, stats, reshape2, ggrepel, tidyr",NA,"ade4, ca, igraph, MASS, knitr, mclust",NA,"GPL-2",NA,NA,NA,NA,"no","4.2.0"
"FactoMineR","FactoMineR","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.8",NA,"R (>= 4.0)","car,cluster,DT,ellipse,emmeans,flashClust,graphics,grDevices,lattice,leaps,MASS,multcompView,scatterplot3d,stats,utils,ggplot2,ggrepel",NA,"missMDA,knitr,Factoshiny,markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"fansi","fansi","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.4",NA,"R (>= 3.1.0)","grDevices, utils",NA,"unitizer, knitr, rmarkdown",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"farver","farver","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.1",NA,NA,NA,NA,"covr, testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"fastcluster","fastcluster","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.3",NA,"R (>= 3.0.0)",NA,NA,NA,"stats, flashClust","FreeBSD | GPL-2 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"fastICA","fastICA","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2-3",NA,"R (>= 4.0.0)",NA,NA,"MASS",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.2.0"
"fastmap","fastmap","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.1",NA,NA,NA,NA,"testthat (>= 2.1.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"fastmatch","fastmatch","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1-4",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.2.0"
"fdrtool","fdrtool","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.17",NA,"R (>= 3.0.2)","graphics, grDevices, stats",NA,"",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.2.0"
"fgsea","fgsea","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.24.0",NA,"R (>= 3.3)","Rcpp, data.table, BiocParallel, stats, ggplot2 (>= 2.2.0),
cowplot, grid, fastmatch, Matrix, utils","Rcpp, BH","testthat, knitr, rmarkdown, reactome.db, AnnotationDbi,
parallel, org.Mm.eg.db, limma, GEOquery, msigdbr, aggregation",NA,"MIT + file LICENCE",NA,NA,NA,NA,"yes","4.2.1"
"filelock","filelock","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.2",NA,NA,NA,NA,"callr (>= 2.0.0), covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"finalfit","finalfit","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.6",NA,NA,"bdsmatrix, boot, broom, dplyr, forcats, GGally, ggplot2, grid,
gridExtra, lme4, magrittr, mice, pillar, pROC, purrr, scales,
stats, stringr, survival, tidyr (>= 1.0.0), tidyselect",NA,"cmprsk, coxme, Hmisc, knitr, lmtest, readr, rlang, rmarkdown,
rstan, sandwich, survey, survminer, testthat, tibble",NA,"MIT + file LICENCE",NA,NA,NA,NA,"no","4.2.0"
"fitdistrplus","fitdistrplus","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1-11",NA,"R (>= 3.5.0), MASS, grDevices, survival, methods","stats",NA,"actuar, rgenoud, mc2d, gamlss.dist, knitr, ggplot2,
GeneralizedHyperbolic, rmarkdown, Hmisc, bookdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"flashClust","flashClust","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.01-2",NA,"R (>= 2.3.0)",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,NA,"4.2.0"
"flexmix","flexmix","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.3-19",NA,"R (>= 2.15.0), lattice","graphics, grid, grDevices, methods, modeltools (>= 0.2-16),
nnet, stats, stats4, utils",NA,"actuar, codetools, diptest, Ecdat, ellipse, gclus, glmnet,
lme4 (>= 1.1), MASS, mgcv (>= 1.8-0), mlbench, multcomp,
mvtnorm, SuppDists, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"flextable","flextable","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.9.3",NA,NA,"stats, utils, grDevices, graphics, grid, rmarkdown, knitr,
htmltools, rlang, ragg, officer (>= 0.6.2), gdtools (>= 0.3.3),
xml2, data.table (>= 1.13.0), uuid (>= 0.1-4)",NA,"testthat (>= 2.1.0), magick, equatags, commonmark, ggplot2,
scales, doconv (>= 0.3.0), xtable, tables (>= 0.9.17), broom,
broom.mixed, mgcv, cluster, lme4, nlme, bookdown (>= 0.34),
pdftools, officedown, pkgdown (>= 2.0.0), webshot2",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"FNN","FNN","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.1.3.2",NA,"R (>= 3.0.0)",NA,NA,"chemometrics, mvtnorm",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"fontawesome","fontawesome","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5.2",NA,"R (>= 3.3.0)","rlang (>= 1.0.6), htmltools (>= 0.5.1.1)",NA,"covr, dplyr (>= 1.0.8), knitr (>= 1.31), testthat (>= 3.0.0),
rsvg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"fontBitstreamVera","fontBitstreamVera","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.1",NA,"R (>= 3.0.0)",NA,NA,NA,NA,"file LICENCE","yes",NA,NA,NA,"no","4.2.0"
"fontLiberation","fontLiberation","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.0",NA,"R (>= 3.0)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"no","4.2.0"
"fontquiver","fontquiver","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.1",NA,"R (>= 3.0.0)","fontBitstreamVera (>= 0.1.0), fontLiberation (>= 0.1.0)",NA,"testthat, htmltools",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"forcats","forcats","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.0",NA,"R (>= 3.4)","cli (>= 3.4.0), glue, lifecycle, magrittr, rlang (>= 1.0.0),
tibble",NA,"covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"foreach","foreach","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5.2",NA,"R (>= 2.5.0)","codetools, utils, iterators",NA,"randomForest, doMC, doParallel, testthat, knitr, rmarkdown",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"no","4.2.0"
"foreign","foreign","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.8-85","recommended","R (>= 4.0.0)","methods, utils, stats",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.0"
"formatR","formatR","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.14",NA,"R (>= 3.2.3)",NA,NA,"rstudioapi, shiny, testit, rmarkdown, knitr",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"Formula","Formula","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2-5",NA,"R (>= 2.0.0), stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"fpc","fpc","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.2-10",NA,"R (>= 2.0)","MASS, cluster, mclust, flexmix, prabclus, class, diptest,
robustbase, kernlab, grDevices, graphics, methods, stats,
utils, parallel",NA,"tclust, pdfCluster, mvtnorm",NA,"GPL",NA,NA,NA,NA,"no","4.2.0"
"fs","fs","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.6.3",NA,"R (>= 3.4)","methods",NA,"covr, crayon, knitr, pillar (>= 1.0.0), rmarkdown, spelling,
testthat (>= 3.0.0), tibble (>= 1.1.0), vctrs (>= 0.3.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"furrr","furrr","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.1",NA,"future (>= 1.25.0), R (>= 3.4.0)","globals (>= 0.14.0), lifecycle (>= 1.0.1), purrr (>= 0.3.4),
rlang (>= 1.0.2), vctrs (>= 0.4.1)",NA,"carrier, covr, dplyr (>= 0.7.4), knitr, listenv (>= 0.6.0),
magrittr, rmarkdown, testthat (>= 3.0.0), tidyselect, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.1"
"futile.logger","futile.logger","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.4.3",NA,"R (>= 3.0.0)","utils, lambda.r (>= 1.1.0), futile.options",NA,"testthat, jsonlite",NA,"LGPL-3",NA,NA,NA,NA,"no","4.2.0"
"futile.options","futile.options","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.1",NA,"R (>= 2.8.0)",NA,NA,NA,NA,"LGPL-3",NA,NA,NA,NA,"no","4.2.0"
"future","future","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.33.0",NA,NA,"digest, globals (>= 0.16.1), listenv (>= 0.8.0), parallel,
parallelly (>= 1.34.0), utils",NA,"methods, RhpcBLASctl, R.rsp, markdown",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"no","4.2.0"
"future.apply","future.apply","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.11.0",NA,"R (>= 3.2.0), future (>= 1.28.0)","globals (>= 0.16.1), parallel, utils",NA,"datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"gargle","gargle","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.5.2",NA,"R (>= 3.6)","cli (>= 3.0.1), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.5), jsonlite, lifecycle, openssl, rappdirs, rlang (>=
1.1.0), stats, utils, withr",NA,"aws.ec2metadata, aws.signature, covr, httpuv, knitr,
rmarkdown, sodium, spelling, testthat (>= 3.1.7)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"gclus","gclus","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.3.2",NA,"R (>= 2.10), cluster",NA,NA,"knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.2.0"
"gdtools","gdtools","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.3.3",NA,"R (>= 4.0.0)","Rcpp (>= 0.12.12), systemfonts (>= 0.1.1), htmltools, gfonts,
tools, curl, fontquiver (>= 0.2.0)","Rcpp","testthat, methods",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"genefilter","genefilter","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.80.3",NA,NA,"BiocGenerics, AnnotationDbi, annotate, Biobase, graphics,
methods, stats, survival, grDevices",NA,"class, hgu95av2.db, tkWidgets, ALL, ROC, RColorBrewer,
BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.2"
"generics","generics","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.3",NA,"R (>= 3.2)","methods",NA,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"GENIE3","GENIE3","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.20.0",NA,NA,"stats, reshape2, dplyr",NA,"knitr, rmarkdown, foreach, doRNG, doParallel, Biobase,
SummarizedExperiment, testthat, methods",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.2.1"
"GenomeInfoDb","GenomeInfoDb","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.34.9",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.25.12), IRanges (>= 2.13.12)","stats, stats4, utils, RCurl, GenomeInfoDbData",NA,"GenomicRanges, Rsamtools, GenomicAlignments, GenomicFeatures,
TxDb.Dmelanogaster.UCSC.dm3.ensGene, BSgenome,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Celegans.UCSC.ce2,
BSgenome.Hsapiens.NCBI.GRCh38, RUnit, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"GenomeInfoDbData","GenomeInfoDbData","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.2.9",NA,"R (>= 3.5.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"GenomicAlignments","GenomicAlignments","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.34.1",NA,"R (>= 4.0.0), methods, BiocGenerics (>= 0.37.0), S4Vectors (>=
0.27.12), IRanges (>= 2.23.9), GenomeInfoDb (>= 1.13.1),
GenomicRanges (>= 1.41.5), SummarizedExperiment (>= 1.9.13),
Biostrings (>= 2.55.7), Rsamtools (>= 1.31.2)","methods, utils, stats, BiocGenerics, S4Vectors, IRanges,
GenomicRanges, Biostrings, Rsamtools, BiocParallel","S4Vectors, IRanges","ShortRead, rtracklayer, BSgenome, GenomicFeatures,
RNAseqData.HNRNPC.bam.chr14, pasillaBamSubset,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
BSgenome.Dmelanogaster.UCSC.dm3, BSgenome.Hsapiens.UCSC.hg19,
DESeq2, edgeR, RUnit, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.2"
"GenomicFeatures","GenomicFeatures","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.50.4",NA,"R (>= 3.5.0), BiocGenerics (>= 0.1.0), S4Vectors (>= 0.17.29),
IRanges (>= 2.13.23), GenomeInfoDb (>= 1.34.7), GenomicRanges
(>= 1.31.17), AnnotationDbi (>= 1.41.4)","methods, utils, stats, tools, DBI, RSQLite (>= 2.0), RCurl,
XVector (>= 0.19.7), Biostrings (>= 2.47.6), BiocIO,
rtracklayer (>= 1.51.5), biomaRt (>= 2.17.1), Biobase (>=
2.15.1)",NA,"RMariaDB, org.Mm.eg.db, org.Hs.eg.db, BSgenome,
BSgenome.Hsapiens.UCSC.hg19 (>= 1.3.17),
BSgenome.Celegans.UCSC.ce11, BSgenome.Dmelanogaster.UCSC.dm3
(>= 1.3.17), mirbase.db, FDb.UCSC.tRNAs,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Celegans.UCSC.ce11.ensGene,
TxDb.Dmelanogaster.UCSC.dm3.ensGene (>= 2.7.1),
TxDb.Mmusculus.UCSC.mm10.knownGene (>= 3.4.7),
TxDb.Hsapiens.UCSC.hg19.lincRNAsTranscripts,
TxDb.Hsapiens.UCSC.hg38.knownGene (>= 3.4.6),
SNPlocs.Hsapiens.dbSNP144.GRCh38, Rsamtools, pasillaBamSubset
(>= 0.0.5), GenomicAlignments (>= 1.15.7), ensembldb,
AnnotationFilter, RUnit, BiocStyle, knitr, markdown",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.2"
"GenomicRanges","GenomicRanges","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.50.2",NA,"R (>= 4.0.0), methods, stats4, BiocGenerics (>= 0.37.0),
S4Vectors (>= 0.27.12), IRanges (>= 2.31.2), GenomeInfoDb (>=
1.15.2)","utils, stats, XVector (>= 0.29.2)","S4Vectors, IRanges","Matrix, Biobase, AnnotationDbi, annotate, Biostrings (>=
2.25.3), SummarizedExperiment (>= 0.1.5), Rsamtools (>=
1.13.53), GenomicAlignments, rtracklayer, BSgenome,
GenomicFeatures, Gviz, VariantAnnotation, AnnotationHub,
DESeq2, DEXSeq, edgeR, KEGGgraph, RNAseqData.HNRNPC.bam.chr14,
pasillaBamSubset, KEGGREST, hgu95av2.db, hgu95av2probe,
BSgenome.Scerevisiae.UCSC.sacCer2, BSgenome.Hsapiens.UCSC.hg19,
BSgenome.Mmusculus.UCSC.mm10,
TxDb.Athaliana.BioMart.plantsmart22,
TxDb.Dmelanogaster.UCSC.dm3.ensGene,
TxDb.Hsapiens.UCSC.hg19.knownGene,
TxDb.Mmusculus.UCSC.mm10.knownGene, RUnit, digest, knitr,
rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.2.2"
"GenomicScores","GenomicScores","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.10.0",NA,"R (>= 3.5), S4Vectors (>= 0.7.21), GenomicRanges, methods,
BiocGenerics (>= 0.13.8)","stats, utils, XML, httr, Biobase, BiocManager, BiocFileCache,
IRanges (>= 2.3.23), Biostrings, GenomeInfoDb, AnnotationHub,
rhdf5, DelayedArray, HDF5Array",NA,"RUnit, BiocStyle, knitr, rmarkdown,
BSgenome.Hsapiens.UCSC.hg19, phastCons100way.UCSC.hg19,
MafDb.1Kgenomes.phase1.hs37d5,
SNPlocs.Hsapiens.dbSNP144.GRCh37, VariantAnnotation,
TxDb.Hsapiens.UCSC.hg19.knownGene, gwascat, RColorBrewer,
shiny, shinyjs, shinycustomloader, data.table, DT, magrittr,
shinydashboard",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.1"
"GEOquery","GEOquery","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.66.0",NA,"methods, Biobase","readr (>= 1.3.1), xml2, dplyr, data.table, tidyr, magrittr,
limma, curl, R.utils",NA,"knitr, rmarkdown, BiocGenerics, testthat, covr, markdown",NA,"MIT",NA,NA,NA,NA,"no","4.2.1"
"gert","gert","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.9.3",NA,NA,"askpass, credentials (>= 1.2.1), openssl (>= 2.0.3),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)",NA,"spelling, knitr, rmarkdown, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"GetoptLong","GetoptLong","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.5",NA,"R (>= 3.3.0)","rjson, GlobalOptions (>= 0.1.0), methods, crayon",NA,"testthat (>= 1.0.0), knitr, markdown, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"gfonts","gfonts","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.2.0",NA,"R (>= 2.10)","utils, htmltools, shiny, crul, jsonlite, glue, crayon",NA,"knitr, rmarkdown, testthat (>= 2.1.0), vcr, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"ggalluvial","ggalluvial","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.12.5",NA,"R (>= 3.6), ggplot2 (>= 2.2)","stats, dplyr (>= 0.7), tidyr (>= 0.7), lazyeval, rlang,
tidyselect",NA,"grid, alluvial, testthat, knitr, rmarkdown, babynames,
sessioninfo, ggrepel, shiny (>= 1.4.0.2), htmltools, sp (>=
1.4-0), ggfittext (>= 0.6), vdiffr (>= 0.2)",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"GGally","GGally","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","2.1.2",NA,"R (>= 3.1), ggplot2 (>= 3.3.4)","dplyr (>= 1.0.0), forcats, grDevices, grid, gtable (>= 0.2.0),
lifecycle, plyr (>= 1.8.3), progress, RColorBrewer, reshape (>=
0.8.5), rlang, scales (>= 1.1.0), tidyr, utils",NA,"broom (>= 0.7.0), broom.helpers (>= 1.1.0), chemometrics,
geosphere (>= 1.5-1), ggforce, Hmisc, igraph (>= 1.0.1),
intergraph (>= 2.0-2), labelled, maps (>= 3.1.0), mapproj,
nnet, network (>= 1.17.1), scagnostics, sna (>= 2.3-2),
survival, rmarkdown, roxygen2, testthat, crosstalk, knitr,
spelling, emmeans",NA,"GPL (>= 2.0)",NA,NA,NA,NA,"no","4.2.0"
"ggbeeswarm","ggbeeswarm","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.7.2",NA,"R (>= 3.5.0), ggplot2 (>= 3.3.0)","beeswarm, lifecycle, vipor, cli",NA,"gridExtra",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.2.0"
"ggdendro","ggdendro","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.23",NA,NA,"MASS, ggplot2(>= 0.9.2)",NA,"rpart (>= 4.0-0), tree, testthat, knitr, cluster, scales,
spelling, rmarkdown, covr",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
"ggforce","ggforce","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.1",NA,"ggplot2 (>= 3.3.6), R (>= 3.3.0)","Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils, lifecycle, cli, vctrs, systemfonts","Rcpp, RcppEigen","sessioninfo, concaveman, deldir, latex2exp, reshape2, units
(>= 0.4-6), covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.2.0"
"ggformula","ggformula","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.10.4",NA,"R (>= 3.1), ggplot2 (>= 3.3), ggstance (>= 0.3.4), scales,
ggridges","mosaicCore (>= 0.7.0), rlang, magrittr, tibble, stringr,
ggforce, grid, labelled",NA,"tidyr, mosaicData, dplyr, lattice, mosaic, palmerpenguins,
testthat, vdiffr, knitr, rmarkdown, lubridate, survival, broom,
maps, maptools, rgeos, sf, purrr, ggthemes, covr,
ggplot2movies, interp, quantreg",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"ggfortify","ggfortify","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.16",NA,"methods, ggplot2 (>= 2.0.0)","dplyr (>= 0.3), tidyr, gridExtra, grid, scales, stringr,
tibble",NA,"testthat, cluster, changepoint, fGarch, forecast, ggrepel,
glmnet, grDevices, KFAS, knitr, lintr, mapdata, markdown, MASS,
MSwM, nlme, raster, ROCR, sp, stats, strucchange, survival,
timeSeries, tseries, utils, vars, xts, zoo, lfda",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.2.0"
"ggfun","ggfun","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.1.2",NA,"R (>= 4.1.0)","ggplot2, grid, rlang, utils",NA,"ggplotify, knitr, rmarkdown, prettydoc, tidyr, ggnewscale",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.2.0"
"ggnetwork","ggnetwork","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.5.12",NA,"R (>= 3.5), ggplot2 (>= 2.0.0)","ggrepel (>= 0.5), network, igraph, sna, utils",NA,"knitr, rmarkdown, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"ggnewscale","ggnewscale","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","0.4.9",NA,NA,"ggplot2 (>= 3.0.0)",NA,"testthat, vdiffr, covr",NA,"GPL-3",NA,NA,NA,NA,"no","4.2.0"
"ggparty","ggparty","/Library/Frameworks/R.framework/Versions/4.2/Resources/library","1.0.0",NA,"R (>= 3.4.0), ggplot2, partykit","grid, gtable, utils, checkmate, methods, survival, rlang",NA,"testthat, mlbench, AER, coin, vdiffr, knitr, rmarkdown,
pander, MASS, TH.data",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.2.0"
